dim0,dim1,dim2,dim3,y
-0.048008,-0.56078,7.7215,0.453,0.0
0.5706,-0.024841,,,0.0
4.3634,0.46351,1.4281,2.0202,0.0
3.482,,3.5008,,0.0
0.51947,-3.2633,,-0.98492,0.0
,-2.628,3.1529,,0.0
-1.8348,,,-4.8888,0.0
,8.8793,,-0.53751,0.0
,5.8974,,-0.70044,0.0
,7.1328,-0.31475,,0.0
0.25035,9.3262,,-6.2543,0.0
2.4673,1.3926,1.7125,,0.0
0.77805,,-1.1425,-1.0573,0.0
3.4465,2.9508,,0.5461,0.0
,-4.1427,5.2333,-0.40173,0.0
3.7321,,3.3577,-0.0060486,0.0
4.3365,-3.584,3.6884,,0.0
-2.0759,,,-4.837,0.0
,7.6398,-2.0824,-1.1698,0.0
0.76163,,1.1959,-0.64613,0.0
-0.53966,7.3273,0.46583,,0.0
2.6213,5.7919,0.065686,-1.5759,0.0
,,2.5865,-0.54785,0.0
5.8519,5.3905,-2.4037,,0.0
0.5706,-0.0248,1.2421,-0.5621,0.0
3.9771,,-3.9272,-4.3444,0.0
1.5478,9.1814,-1.6326,-1.7375,0.0
0.74054,,2.1992,,0.0
0.49571,10.2243,-1.097,-4.0159,0.0
,7.8612,-0.87598,-3.5569,0.0
3.6077,6.8576,-1.1622,,0.0
3.2403,-3.7082,5.2804,0.41291,0.0
,10.2491,-4.0926,-4.4659,0.0
3.9262,,-2.0156,-0.065531,0.0
5.591,10.4643,-4.3839,-4.3379,0.0
3.7522,,3.9943,1.3051,0.0
1.3114,4.5462,2.2935,,0.0
,6.9942,-1.8511,-0.12889,0.0
4.364,-3.1039,2.3757,,0.0
3.5829,1.4423,1.0219,,0.0
4.65,,3.4553,-0.25174,0.0
5.1731,,,0.40774,0.0
3.2692,,,-0.066824,0.0
,1.6223,3.0312,0.71679,0.0
1.7257,-4.4697,,-1.8073,0.0
4.7965,6.9859,-1.9967,-0.35001,0.0
,10.1891,-3.9323,,0.0
2.5559,3.3605,,0.26809,0.0
3.4916,8.5709,-3.0326,-0.59182,0.0
0.5195,-3.2633,3.0895,-0.9849,0.0
2.9856,,-0.409,-2.2431,0.0
4.0932,5.4132,-1.8219,,0.0
1.7748,-0.76978,,,0.0
5.2012,,,1.1797,0.0
,-1.3678,7.0858,,0.0
4.8451,,,-1.4724,0.0
,7.2756,1.1504,-0.5388,0.0
5.1213,8.5565,,-1.5474,0.0
3.6181,,,-0.71208,0.0
0.040498,8.5234,1.4461,,0.0
,10.1374,,-5.4707,0.0
,0.70975,0.75716,-0.44441,0.0
-0.95923,,6.2204,,0.0
2.8672,10.0008,-3.2049,-3.1095,0.0
1.0182,9.109,-0.62064,-1.7129,0.0
-2.7143,,2.1092,-3.9629,0.0
3.8244,-3.1081,2.4537,0.52024,0.0
,2.121,1.8385,0.38317,0.0
3.5358,,,0.47886,0.0
,,2.2215,-4.5965,0.0
4.1542,7.2756,-2.4766,-1.2099,0.0
0.92703,9.4318,-0.66263,,0.0
1.8216,-6.4748,8.0514,-0.41855,0.0
-2.4473,12.6247,,-7.6612,0.0
3.5862,-3.0957,,0.24481,0.0
0.66191,9.6594,-0.28819,-1.6638,0.0
4.7926,1.7071,,,0.0
4.9852,8.3516,-2.5425,-1.2823,0.0
0.75736,3.0294,2.9164,-0.068117,0.0
4.6499,7.6336,-1.9427,-0.37458,0.0
-0.023579,7.1742,0.78457,-0.75734,0.0
0.85574,0.0082678,,-0.53104,0.0
0.88298,0.66009,6.0096,,0.0
,-4.391,4.7466,1.137,0.0
2.2546,8.0992,,-3.2698,0.0
0.38478,,,-0.56466,0.0
3.1541,-5.1711,6.5991,0.57455,0.0
,0.23589,4.8477,1.437,0.0
4.7114,2.0755,,1.2379,0.0
,10.1477,-3.9366,-4.0728,0.0
2.6606,3.1681,,,0.0
3.931,1.8541,,1.2314,0.0
,8.693,1.3989,-3.9668,0.0
,,1.4015,1.1952,0.0
2.2504,3.5757,,0.2836,0.0
,3.3191,-1.3927,-1.9948,1.0
0.39012,-0.14279,-0.031994,0.35084,1.0
-1.6677,-7.1535,,0.96765,1.0
-3.8483,-12.8047,15.6824,-1.281,1.0
-3.5681,,10.083,0.96765,1.0
-2.2804,-0.30626,,,1.0
-1.7582,2.7397,,-2.234,1.0
-0.89409,3.1991,-1.8219,-2.9452,1.0
0.3434,0.12415,-0.28733,0.14654,1.0
-0.9854,,5.8245,0.5461,1.0
-2.4115,-9.1359,,,1.0
,-6.2534,5.3524,0.59912,1.0
-0.61442,-0.091058,-0.31818,0.50214,1.0
-0.36506,2.8928,-3.6461,-3.0603,1.0
-5.9034,6.5679,0.67661,-6.6797,1.0
-1.8215,,-0.72261,-2.353,1.0
-0.77461,-1.8768,2.4023,1.1319,1.0
-1.8187,-9.0366,9.0162,-0.12243,1.0
-3.5801,,13.1779,,1.0
-1.8219,,5.4681,0.057313,1.0
-0.3481,-0.38696,-0.47841,0.62627,1.0
0.47368,,-4.5064,-4.0431,1.0
-3.4083,4.8587,-0.76888,-4.8668,1.0
-1.6662,-0.30005,1.4238,0.024986,1.0
-2.0962,-7.1059,6.6188,,1.0
-2.6685,-10.4519,9.1139,-1.7323,1.0
-0.47465,-4.3496,1.9901,,1.0
1.0552,1.1857,-2.6411,,1.0
1.1644,3.8095,-4.9408,,1.0
-4.4779,7.3708,,,1.0
-2.7338,0.45523,,0.21766,1.0
-2.286,-5.4484,,,1.0
-1.6244,,4.6575,,1.0
0.50813,0.47799,-1.9804,0.57714,1.0
1.6408,4.2503,-4.9023,-2.6621,1.0
0.81583,4.84,,-6.0823,1.0
-5.4901,,-0.38758,-5.9763,1.0
-3.2238,2.7935,0.32274,-0.86078,1.0
,-1.5147,1.219,0.44524,1.0
-0.91318,-2.0113,-0.19565,0.066365,1.0
,1.9327,,-0.32415,1.0
0.91315,3.3377,-4.0557,-1.6741,1.0
-0.28015,3.0729,-3.3857,-2.9155,1.0
-3.6085,3.3253,,-3.5737,1.0
-6.2003,8.6806,0.0091344,,1.0
-4.2932,3.3419,0.77258,-0.99785,1.0
-3.0265,,0.68604,-0.055186,1.0
-1.7015,-0.010356,-0.99337,-0.53104,1.0
-0.64326,2.4748,,-1.0276,1.0
-0.86339,,-2.3729,,1.0
-2.0659,1.0512,-0.46298,-1.0974,1.0
,1.5685,-0.084261,-1.7453,1.0
-1.2568,-1.4733,2.8718,0.44653,1.0
,,10.7402,-1.0172,1.0
-4.8554,-5.9037,10.9818,-0.82199,1.0
-2.588,3.8654,-0.3336,-1.2797,1.0
,1.4733,-1.4192,-0.58535,1.0
-1.5322,,6.6779,0.17498,1.0
-4.0025,-13.4979,17.6772,-3.3202,1.0
,-8.3123,,-1.4375,1.0
,-0.53181,,0.77627,1.0
-1.979,,-1.3575,-2.5819,1.0
,-0.14693,,-0.15605,1.0
,-7.0314,7.4936,0.61334,1.0
-4.211,-12.4736,14.9704,-1.3884,1.0
-3.8073,-8.0971,10.1772,0.65084,1.0
-2.5912,-0.10554,,,1.0
-2.2482,3.0915,,-2.6711,1.0
-1.4427,3.2922,,-3.4392,1.0
-0.39416,-0.020702,-0.066267,,1.0
-1.522,,5.7491,,1.0
-2.8267,-9.0407,,-0.98233,1.0
-1.7263,,5.2419,0.29524,1.0
-0.94255,0.039307,-0.24192,,1.0
-0.89569,3.0025,,-3.4457,1.0
,,0.52581,-7.0107,1.0
-2.3211,3.166,-1.0002,-2.7151,1.0
-1.3414,-2.0776,2.8093,,1.0
-2.258,-9.3263,9.3727,,1.0
-3.8858,-12.8461,12.7957,-3.1353,1.0
-1.8969,-6.7893,5.2761,-0.32544,1.0
-0.52645,,-0.45613,0.41938,1.0
0.0096613,3.5612,-4.407,-4.4103,1.0
-3.8826,4.898,,-5.0801,1.0
-2.1405,-0.16762,1.321,-0.20906,1.0
-2.4824,-7.3046,6.839,-0.59053,1.0
-2.9098,-10.0712,,,1.0
-0.60975,-4.002,1.8471,,1.0
,1.1071,-2.4706,-0.062945,1.0
,3.9544,-4.772,-4.4853,1.0
-4.8861,7.0542,-0.17252,-6.959,1.0
-3.1366,0.42212,,-0.064238,1.0
,-5.6574,6.103,,1.0
-1.8782,,4.8486,-0.021566,1.0
,0.57318,-1.9402,0.44007,1.0
1.296,4.2855,,-2.9013,1.0
0.25943,5.0097,-5.0394,,1.0
,9.1752,-0.27448,,1.0
,2.6901,0.16165,-1.0224,1.0
,,1.1273,0.16076,1.0
,-1.7175,,-0.21036,1.0
0.20216,1.9182,-3.2828,-0.61768,1.0
0.59823,3.5012,,-1.7841,1.0
,,-3.282,-3.1004,1.0
-4.1409,3.4619,-0.47841,-3.8879,1.0
-6.5084,8.7696,0.23191,-3.937,1.0
-4.4996,3.4288,0.56265,-1.1672,1.0
-3.3125,0.10139,0.55323,-0.2957,1.0
-1.9423,0.3766,,-0.82458,1.0
-0.75793,2.5349,-3.0464,-1.2629,1.0
-0.95403,1.9824,,,1.0
-2.2173,,-0.72689,-1.1724,1.0
-2.799,1.9679,-0.42357,-2.1125,1.0
-1.8629,-0.84841,2.5377,0.097399,1.0
-3.5916,,10.2389,-1.1543,1.0
,-5.3118,10.3846,-1.0612,1.0
-3.2854,4.0372,,-1.8228,1.0
-0.56877,1.4174,-1.4252,-1.1246,1.0
-2.3518,,6.6479,-0.060358,1.0
-4.4861,-13.2889,17.3087,,1.0
-4.3876,-7.7267,11.9655,-1.4543,1.0
-3.3604,-0.32696,2.1324,0.6017,1.0
-1.0112,2.9984,,-1.6185,1.0
0.030219,-1.0512,,,1.0
,,9.1122,1.2379,1.0
-3.2692,,15.5573,-0.14182,1.0
-2.5701,-6.8452,8.9999,,1.0
-1.3066,,,1.7758,1.0
,3.2881,-2.2701,-2.2224,1.0
-0.55008,2.8659,-1.6488,-2.4319,1.0
0.21431,,0.87711,,1.0
,-7.4473,6.492,0.36119,1.0
-1.8391,-9.0883,,,1.0
-0.63298,-5.1277,,1.4797,1.0
,0.62905,-0.64121,,1.0
-0.28696,3.1784,-3.5767,,1.0
,6.6258,-0.19908,-6.8607,1.0
-1.4446,2.1438,,,1.0
-0.65767,-2.8018,3.7115,0.99739,1.0
-1.5449,,9.6152,,1.0
-2.8957,,11.9149,-2.7552,1.0
-0.81479,-5.7381,4.3919,0.3211,1.0
,0.65388,-1.1793,0.39998,1.0
0.74521,3.6357,,-4.1414,1.0
-2.9146,,-0.45699,,1.0
-1.3907,-1.3781,2.3055,,1.0
-1.786,-8.1157,7.0858,-1.2112,1.0
-1.7322,,7.719,-1.7168,1.0
0.55298,,1.7048,,1.0
2.031,1.852,-3.0121,0.003003,1.0
1.2279,,-4.6435,,1.0
-4.2249,6.2699,,-5.5457,1.0
-2.5346,-0.77392,3.3602,0.00171,1.0
-1.749,-6.332,6.0987,0.14266,1.0
-0.539,-5.167,3.4399,,1.0
,0.89599,-1.9702,0.65472,1.0
2.3917,4.5565,-4.9888,,1.0
0.89512,4.7738,-4.8431,-5.5909,1.0
-5.4808,8.1819,,-5.0323,1.0
-2.8833,,,-0.4638,1.0
,-2.2535,1.518,0.61981,1.0
,-0.94981,-1.0731,0.3211,1.0
1.5904,,,-0.11725,1.0
,3.6833,,-1.7207,1.0
-0.23356,3.2405,-3.0669,-2.7784,1.0
-3.6227,3.9958,-0.35845,-3.9047,1.0
-6.1536,7.9295,0.61663,-3.2646,1.0
-3.9172,,0.78886,-0.7819,1.0
-2.2214,-0.23798,0.56008,,1.0
-0.49241,0.89392,-1.6283,,1.0
,2.4066,,-0.59958,1.0
-0.10234,,,-0.56725,1.0
,1.0926,-0.35502,-0.59958,1.0
-1.8448,1.254,0.27218,-1.0728,1.0
-1.2786,-2.4087,4.5735,,1.0
-2.902,,11.8318,-0.84268,1.0
-4.3773,-5.5167,10.939,-0.4082,1.0
-2.0529,3.8385,,-1.2138,1.0
,0.70148,-0.51182,,1.0
-1.7279,-6.841,,0.68058,1.0
-3.3793,,17.9274,-2.0323,1.0
,-7.1121,11.3897,-0.083634,1.0
,,1.949,1.353,1.0
-1.7697,3.4329,,-2.3789,1.0
-0.0012852,0.13863,-0.19651,0.0081754,1.0
,,7.1398,1.3323,1.0
-3.4917,-12.1736,14.3689,-0.61639,1.0
-3.1158,,10.4403,0.97153,1.0
-2.0891,-0.48422,1.704,1.7435,1.0
-1.6936,2.7852,-2.1835,-1.9276,1.0
,3.2715,-1.7671,,1.0
-0.092194,0.39315,-0.32846,-0.13794,1.0
,-6.3879,,0.79955,1.0
-2.2083,-9.1069,8.9991,-0.28406,1.0
-1.0744,-6.3113,5.355,0.80472,1.0
-0.51003,-0.23591,0.020273,,1.0
-0.36372,3.0439,,-2.7836,1.0
-6.3979,6.4479,1.0836,-6.6176,1.0
-2.2501,3.3129,-0.88369,-2.8974,1.0
-1.1859,,2.2635,0.77239,1.0
-1.8076,-8.8131,,-0.21682,1.0
-3.3863,,13.0545,-2.7202,1.0
-1.4106,,,0.31335,1.0
,-0.68287,0.096532,,1.0
,3.5674,-4.3882,-3.8116,1.0
-3.8167,5.1401,-0.65063,-5.4306,1.0
-1.9555,0.20692,,,1.0
-2.1786,-6.4479,6.0344,-0.20777,1.0
-2.3299,,8.4756,-1.8733,1.0
0.0031201,,1.7956,0.91722,1.0
1.3518,1.0595,,0.39998,1.0
1.2309,3.8923,-4.8277,-4.0069,1.0
,7.5032,,-7.5034,1.0
-3.0799,,2.7039,-0.23751,1.0
-2.2987,-5.227,5.63,0.91722,1.0
,-6.541,4.8151,-0.033204,1.0
,,-1.6506,0.83834,1.0
,4.2068,-4.5398,-2.3931,1.0
0.63655,5.2022,-5.2159,-6.1211,1.0
-6.0598,9.2952,,-6.3694,1.0
-3.518,2.8763,0.1548,-1.2086,1.0
,,1.1582,0.36507,1.0
-0.69745,,-0.34474,,1.0
0.75108,,-3.1098,-0.20518,1.0
,3.4826,-3.6307,,1.0
,3.2136,-3.3085,-2.7965,1.0
-3.6817,3.2239,-0.69347,-3.4004,1.0
-6.7526,8.8172,,,1.0
-4.577,3.4515,0.66719,-0.94742,1.0
-2.9883,0.31245,,,1.0
-1.4781,,-1.1622,-0.48579,1.0
-0.46651,,-2.9812,-1.0431,1.0
-0.8734,1.6533,-2.1964,-0.78061,1.0
-2.1234,1.1815,-0.55552,,1.0
-2.3142,2.0838,-0.46813,-1.6767,1.0
-1.4233,,2.3586,0.39481,1.0
-3.0866,-6.6362,10.5405,-0.89182,1.0
,-6.1789,,-1.0741,1.0
,3.8964,-0.1888,-1.1672,1.0
-0.036127,1.525,-1.4089,-0.76121,1.0
-1.7104,-4.778,6.2109,,1.0
-3.8203,-13.0551,16.9583,-2.3052,1.0
,-8.5089,12.363,-0.95518,1.0
-2.899,-0.60424,2.6045,1.3776,1.0
-0.98193,2.7956,-1.2341,-1.5668,1.0
-0.17296,,1.3818,0.7336,1.0
-1.9409,-8.6848,9.155,,1.0
-3.5713,-12.4922,14.8881,-0.47027,1.0
-2.9915,-6.6258,8.6521,,1.0
-1.8483,,0.77344,,1.0
-2.2677,,,-2.4642,1.0
-0.50816,2.868,-1.8108,-2.2612,1.0
,-1.0885,,0.48791,1.0
-0.90784,-7.9026,6.7807,0.34179,1.0
,-9.3676,9.3333,-0.10303,1.0
,-5.1008,4.5367,,1.0
-0.40804,0.54214,-0.52725,0.6586,1.0
,3.3812,-3.6684,,1.0
-4.8392,6.6755,-0.24278,-6.5775,1.0
,2.1376,-0.47584,-1.3974,1.0
-0.66008,-3.226,3.8058,1.1836,1.0
-1.7713,-10.7665,10.2184,,1.0
,-12.2377,,-2.1603,1.0
-1.1022,-5.8395,4.5641,,1.0
0.11806,,,0.42843,1.0
,3.735,-4.4379,,1.0
-2.7264,3.9213,-0.49212,-3.6371,1.0
-1.2369,-1.6906,2.518,0.51636,1.0
-1.8439,-8.6475,7.6796,,1.0
-1.8554,-9.6035,7.7764,,1.0
0.16358,-3.3584,,1.3569,1.0
,1.9596,-3.0584,,1.0
,4.1199,,-4.1414,1.0
-3.9934,,0.54723,-4.9379,1.0
-2.3898,-0.78427,3.0141,0.76205,1.0
-1.7976,,6.6753,0.89912,1.0
-0.70867,,4.0483,0.903,1.0
,1.1029,-2.3,,1.0
1.7875,,,-3.2362,1.0
0.27331,4.8773,-4.9194,-5.8198,1.0
-5.1661,8.0433,0.044265,-4.4983,1.0
-2.7028,1.6327,0.83598,-0.091393,1.0
-1.4904,,1.6054,,1.0
-0.014902,-1.0243,-0.94024,0.64955,1.0
,2.2638,-3.1046,,1.0
1.0637,3.6957,-4.1594,,1.0
,3.1329,,-2.9388,1.0
,4.0289,-0.35845,,1.0
-5.8818,7.6584,,-2.9155,1.0
,2.5162,,-0.30993,1.0
-2.4198,-0.24418,0.70146,0.41809,1.0
-0.83535,0.80494,-1.6411,,1.0
-0.30432,2.6528,,-0.65647,1.0
,1.7237,,-0.77027,1.0
-2.1059,1.1815,-0.53324,-0.82716,1.0
-2.0441,1.2271,0.18564,-1.091,1.0
,-2.2121,4.2591,,1.0
-3.2305,-7.2135,11.6433,-0.94613,1.0
-4.8426,,10.4052,-0.53104,1.0
-2.3147,,-0.6969,,1.0
-0.11716,0.60422,,,1.0
,-6.719,9.0162,0.099985,1.0
-3.6961,,17.5795,-2.6181,1.0
-3.6012,,10.5234,,1.0
-2.6286,0.18002,,0.97282,1.0
-0.82601,,-1.2864,,1.0
0.31803,-0.99326,,,1.0
-1.4454,-8.4385,,0.96894,1.0
-3.1423,-13.0365,15.6773,,1.0
-2.5373,-6.959,8.8054,,1.0
-1.366,0.18416,0.90539,1.5806,1.0
-1.7064,,-2.2829,-2.1978,1.0
,2.9094,-1.7859,-2.2069,1.0
0.37637,,,0.74524,1.0
,-7.9233,6.7156,0.74394,1.0
-1.6001,-9.5828,,0.081882,1.0
-0.37013,-5.554,4.7749,1.547,1.0
0.12126,,-0.47327,0.97024,1.0
,3.2674,-3.5562,-3.0888,1.0
-5.119,,-0.049987,-6.5206,1.0
-1.3946,2.3134,-0.44499,-1.4905,1.0
-0.69879,-3.3771,4.1211,1.5043,1.0
,-10.5244,9.9176,-0.5026,1.0
,-12.813,12.6689,-1.9082,1.0
-0.62684,,4.7843,1.106,1.0
0.518,0.25865,-0.84085,0.96118,1.0
0.64376,3.764,-4.4738,-4.0483,1.0
-2.9821,4.1986,-0.5898,,1.0
-1.4628,-1.5706,,0.49826,1.0
-1.7101,-8.7903,,-0.45475,1.0
-1.5572,,8.1088,,1.0
,-3.7723,1.6131,1.5754,1.0
2.0177,,-2.9581,,1.0
1.164,3.913,-4.5544,,1.0
-4.3667,6.0692,,-5.4668,1.0
-2.5919,,3.8949,0.77757,1.0
-1.8046,-6.8141,6.7019,1.1681,1.0
-0.71868,,,1.0233,1.0
1.4378,0.66837,,1.0271,1.0
,4.5503,-4.976,,1.0
0.7376,,-4.7986,-5.6659,1.0
-5.637,8.1261,0.13081,,1.0
-3.0193,1.7775,,-0.45346,1.0
-1.6706,-2.09,1.584,,1.0
-0.1269,,-0.95138,0.57843,1.0
1.2198,2.0982,-3.1954,,1.0
1.4501,3.6067,-4.0557,-1.5966,1.0
,3.0977,-2.9607,-2.6892,1.0
-3.8952,3.8157,-0.31304,,1.0
-6.3679,8.0102,0.4247,-3.2207,1.0
-4.1429,2.7749,,-0.71984,1.0
-2.6864,-0.097265,0.61663,0.061192,1.0
-1.0555,0.79459,-1.6968,-0.46768,1.0
-0.29858,,-2.9512,-0.66165,1.0
-0.49948,1.7734,-2.2469,-0.68104,1.0
-1.9881,0.99945,-0.28562,,1.0
-1.9389,,0.045979,-1.122,1.0
-1.4375,-1.8624,4.026,,1.0
,,11.8678,-0.57889,1.0
,-5.6636,10.969,-0.33449,1.0
,3.8468,-0.63435,-1.175,1.0
0.26637,,-0.67891,0.03533,1.0
-1.7589,-6.4624,,0.31981,1.0
,-13.6593,,-2.4927,1.0
-3.3582,-7.2404,11.4419,-0.57113,1.0
-2.3629,-0.10554,1.9336,1.1358,1.0
,3.3791,-1.2256,-2.6621,1.0
,-0.15521,,-0.088807,1.0
-2.2918,-7.257,,0.9211,1.0
-4.0214,-12.8006,,-0.95647,1.0
-3.3884,,10.3315,0.98187,1.0
-2.0046,,1.333,1.6543,1.0
,2.7956,-2.378,-2.3491,1.0
-1.6386,3.3584,,-3.5646,1.0
-0.41645,0.32487,-0.33617,,1.0
-1.5877,-6.6072,5.8022,0.31593,1.0
-2.5961,-9.349,,,1.0
-1.5228,-6.4789,5.7568,0.87325,1.0
-0.53072,-0.097265,,1.0426,1.0
,,-3.6436,-3.1004,1.0
-6.5773,6.8017,,-7.5344,1.0
,2.7645,-0.62578,-2.8573,1.0
-1.3995,-1.9162,2.5154,0.59912,1.0
-2.3221,-9.3304,,,1.0
-3.73,-12.9723,,-2.684,1.0
-1.6988,-7.1163,5.7902,0.16723,1.0
-0.26654,-0.64562,,0.89136,1.0
,3.3108,-4.5081,-4.012,1.0
,4.7283,-0.49126,-5.2159,1.0
,,1.9833,-0.44829,1.0
,,6.8964,-0.64484,1.0
-2.7611,-10.5099,,-1.9547,1.0
-0.36025,-4.449,2.1067,0.94308,1.0
1.0117,0.9022,-2.3506,0.42714,1.0
,3.8426,,-4.1323,1.0
-5.2049,,0.070827,-7.3004,1.0
-3.3203,-0.02691,2.9618,-0.44958,1.0
-2.565,,6.0122,,1.0
,-6.572,4.7689,,1.0
0.7049,0.17174,,0.36119,1.0
1.7331,3.9544,-4.7412,-2.5017,1.0
0.6818,4.8504,,-6.1043,1.0
-6.3364,9.2848,0.014275,-6.7844,1.0
-3.8053,2.4273,0.6809,-1.0871,1.0
-2.1979,-2.1252,,0.45171,1.0
-0.87874,-2.2121,-0.051701,,1.0
0.74067,1.7299,-3.1963,-0.1457,1.0
0.98296,3.4226,-3.9692,-1.7116,1.0
-0.3489,,-3.4054,,1.0
,3.5219,-0.38415,,1.0
-6.9599,8.9931,0.2182,-4.572,1.0
-4.7462,,,-1.2966,1.0
-3.2051,,0.97565,0.045675,1.0
-1.7549,,-0.75774,,1.0
-0.59587,,-2.8673,-0.89828,1.0
-0.89542,2.0279,-2.3652,-1.2746,1.0
-2.0754,1.2767,-0.64206,-1.2642,1.0
-3.2778,1.8023,0.1805,-2.3931,1.0
-2.2183,-1.254,2.9986,,1.0
-3.5895,-6.572,10.5251,,1.0
,-5.8023,11.244,-0.3901,1.0
-3.5741,3.944,-0.07912,,1.0
-0.7351,1.7361,-1.4938,-1.1582,1.0
-2.2617,-4.7428,6.3489,0.11162,1.0
-4.244,-13.0634,17.1116,-2.8017,1.0
-4.0218,-8.304,,,1.0
,-0.67253,,0.85774,1.0
-2.4941,,-1.3721,,1.0
-0.83121,0.039307,,,1.0
-2.5665,,7.5416,0.70774,1.0
-4.4018,-12.9371,,-1.6806,1.0
-3.7573,,,0.38059,1.0
-2.4725,-0.40145,1.4855,1.1189,1.0
-1.9725,,-2.3086,-2.3724,1.0
-2.0149,3.6874,,,1.0
,,-0.48869,-0.52716,1.0
-1.7886,-6.3486,,0.42584,1.0
-2.9138,-9.4711,9.7668,-0.60216,1.0
,-6.5907,,0.54998,1.0
,,-0.20165,0.55774,1.0
-0.70346,2.957,,,1.0
-6.7387,6.9879,0.67833,-7.5887,1.0
-2.7723,,-0.9351,-3.1457,1.0
-1.6641,-1.3678,1.997,0.52283,1.0
,-9.2497,8.9922,-0.50001,1.0
-3.793,-12.7095,12.7957,-2.825,1.0
,-6.9756,,-0.12889,1.0
-0.69078,,-0.35417,0.47498,1.0
,3.3998,-4.4327,-4.2655,1.0
-4.3967,4.9601,,-5.4719,1.0
-2.456,-0.24418,1.4041,-0.45863,1.0
,-6.8555,6.2169,-0.62285,1.0
-2.9662,-10.3257,8.784,-2.1138,1.0
-0.71494,-4.4448,,0.49826,1.0
,,-2.2126,0.097399,1.0
0.61652,,-4.7275,-4.3948,1.0
,7.2363,0.10938,,1.0
-3.5798,0.45937,2.3457,-0.45734,1.0
-2.7769,-5.6967,5.9179,0.37671,1.0
-1.8356,-6.7562,5.0585,-0.55044,1.0
,,-1.7542,0.48921,1.0
,4.1323,-4.7018,-2.5987,1.0
0.26877,4.987,,-6.3913,1.0
-6.5235,9.6014,-0.25392,-6.9642,1.0
,,0.79571,-1.1039,1.0
,-1.7051,1.5026,0.32757,1.0
-1.3414,-1.9162,-0.15538,-0.11984,1.0
,2.0879,-3.3522,-0.66553,1.0
0.6212,,-4.0771,-2.0711,1.0
-0.77848,3.4019,,-3.5569,1.0
-4.1244,,,-4.1802,1.0
,9.2,0.25933,-4.6832,1.0
,,0.82742,-1.4957,1.0
-3.5359,0.30417,,,1.0
-2.0662,0.16967,,,1.0
-0.88728,2.808,-3.1432,-1.2035,1.0
-1.0941,2.3072,,-1.4453,1.0
,1.6285,-0.88541,-1.4802,1.0
,,0.1865,-2.4409,1.0
-2.2811,-0.85669,2.7185,,1.0
-3.6053,-5.974,10.0916,-0.82846,1.0
-5.0676,-5.1877,10.4266,-0.86725,1.0
-3.9204,,-0.23678,,1.0
-1.1306,1.8458,,-1.3806,1.0
-2.4561,,6.4534,,1.0
-4.4775,-13.0303,,-3.0345,1.0
-4.1958,-8.1819,12.1291,-1.6017,1.0
-3.38,,2.5325,0.71808,1.0
,3.6026,-1.4166,-2.8948,1.0
-0.77688,0.13036,,-0.35389,1.0
-2.7083,-6.8266,,0.59007,1.0
-4.5531,-12.5854,15.4417,-1.4983,1.0
-3.8894,,9.8208,0.47498,1.0
-2.5084,-0.22763,1.488,1.2069,1.0
-2.1652,,-2.4132,-2.4241,1.0
-1.8974,3.5074,-1.7842,,1.0
-0.62043,0.5587,-0.38587,-0.66423,1.0
-1.8387,-6.301,,0.19567,1.0
-3.0,-9.1566,9.5766,,1.0
,-6.1603,5.606,,1.0
-1.005,,-0.2462,0.45688,1.0
,3.257,-3.6778,-3.2944,1.0
-6.651,6.7934,,-7.5887,1.0
-2.5463,,-0.83228,-3.0358,1.0
,-1.432,2.1144,0.42067,1.0
,-9.0407,8.862,,1.0
-3.9411,-12.8792,13.0597,-3.3125,1.0
-2.1241,-6.8969,5.5992,-0.47156,1.0
-0.74324,,,0.23317,1.0
,3.7412,-4.5415,-4.2526,1.0
,4.9166,-0.49212,,1.0
,,1.692,-0.43018,1.0
-2.5526,-7.3625,,-0.66811,1.0
-3.0986,-10.4602,8.9717,-2.3427,1.0
-0.89809,-4.4862,2.2009,0.50731,1.0
0.56232,,-2.2726,-0.0060486,1.0
0.53936,3.8944,-4.8166,-4.3418,1.0
,,0.029699,-7.3987,1.0
-3.3553,,,-0.37846,1.0
-2.7908,-5.7133,5.953,0.45946,1.0
-1.9983,-6.6072,4.8254,-0.41984,1.0
0.15423,0.11794,-1.6823,0.59524,1.0
,4.0744,-4.7635,,1.0
,4.8856,-5.149,,1.0
-6.4247,9.5311,,-6.8517,1.0
-3.9933,2.6218,0.62863,,1.0
-2.659,-1.6058,1.3647,0.16464,1.0
-1.4094,-2.1252,,-0.19225,1.0
0.11032,,,-0.65259,1.0
,3.644,-4.0746,-1.9909,1.0
-0.76794,3.4598,-3.4405,-3.4276,1.0
-3.9698,3.6812,-0.60008,-4.0133,1.0
-7.0364,9.2931,0.16594,,1.0
-4.9447,3.3005,1.063,-1.444,1.0
-3.5933,,0.7126,-0.3332,1.0
-2.1674,0.12415,,,1.0
-0.9607,2.6963,-3.1226,,1.0
,2.1996,-2.5862,-1.2759,1.0
-2.3277,,-0.82114,-1.2862,1.0
-3.7244,1.9037,-0.035421,-2.5095,1.0
-2.5724,-0.95602,2.7073,,1.0
-3.9297,,10.0958,,1.0
-5.2943,-5.1463,10.3332,-1.1181,1.0
-3.8953,4.0392,-0.3019,-2.1836,1.0
-1.2244,1.7485,-1.4801,,1.0
-2.6406,-4.4159,5.983,-0.13924,1.0
-4.6338,-12.7509,16.7166,,1.0
