dim0,dim1,y
452852.0,,44.0
452859.0,,41.0
,104289.0,41.0
452865.0,,45.0
452882.0,574194.0,46.0
452883.0,735383.0,48.0
452886.0,,42.0
452888.0,523492.0,46.0
,541698.0,46.0
452899.0,,45.0
452906.0,,47.0
,731022.0,48.0
452916.0,139770.0,42.0
452920.0,,45.0
452924.0,,47.0
452928.0,,45.0
452930.0,163155.0,42.0
452932.0,,45.0
,86849.0,41.0
,916264.0,50.0
452944.0,788475.0,49.0
,204067.0,42.0
452956.0,734833.0,48.0
452963.0,,49.0
452964.0,715804.0,48.0
,63026.0,41.0
452967.0,563542.0,46.0
452972.0,,42.0
,916664.0,50.0
452973.0,,41.0
452984.0,638480.0,47.0
,143071.0,42.0
,474628.0,45.0
,77037.0,41.0
453001.0,,50.0
453003.0,,43.0
,717450.0,48.0
453010.0,656352.0,47.0
453012.0,945983.0,50.0
,562923.0,46.0
453031.0,149390.0,42.0
453032.0,,44.0
453043.0,783333.0,49.0
453052.0,540368.0,46.0
453061.0,735868.0,48.0
453064.0,562077.0,46.0
453067.0,,48.0
453068.0,172069.0,42.0
453077.0,,43.0
,568700.0,46.0
453106.0,173196.0,42.0
453121.0,,45.0
,796327.0,49.0
453147.0,,42.0
453155.0,504492.0,46.0
453158.0,708137.0,48.0
453163.0,,41.0
453170.0,,41.0
453172.0,174350.0,42.0
,731422.0,48.0
453188.0,278823.0,43.0
453192.0,298048.0,43.0
,806725.0,49.0
453198.0,248848.0,43.0
453227.0,487325.0,45.0
,978994.0,50.0
453231.0,797322.0,49.0
453235.0,893173.0,50.0
,397037.0,44.0
,881530.0,50.0
453248.0,168473.0,42.0
453248.0,,43.0
453259.0,,49.0
453260.0,700413.0,48.0
453262.0,,48.0
453265.0,,49.0
453269.0,,42.0
453275.0,743793.0,48.0
453279.0,542580.0,46.0
453280.0,855856.0,49.0
453293.0,550069.0,46.0
453296.0,,46.0
453311.0,69358.0,41.0
453318.0,,43.0
,939877.0,50.0
453331.0,,45.0
453338.0,,45.0
,720076.0,48.0
453350.0,619906.0,47.0
453357.0,950313.0,50.0
453360.0,552055.0,46.0
453365.0,648929.0,47.0
,145323.0,42.0
453370.0,594343.0,47.0
453374.0,,45.0
453375.0,318217.0,44.0
453378.0,,49.0
453378.0,,48.0
,839315.0,49.0
453385.0,,44.0
453393.0,,44.0
453395.0,,50.0
453395.0,811871.0,49.0
453405.0,357848.0,44.0
,301920.0,43.0
,648258.0,47.0
453417.0,,41.0
,84333.0,41.0
453429.0,885504.0,50.0
453430.0,,49.0
453434.0,,41.0
,828618.0,49.0
453445.0,313394.0,44.0
453447.0,,49.0
,656668.0,47.0
453454.0,442021.0,45.0
453455.0,579965.0,46.0
453458.0,749331.0,48.0
453466.0,532469.0,46.0
453468.0,,49.0
,83025.0,41.0
453481.0,,45.0
,84188.0,41.0
,235917.0,43.0
453503.0,,41.0
,356257.0,44.0
453517.0,279540.0,43.0
453519.0,,46.0
453520.0,539984.0,46.0
,237570.0,43.0
,570613.0,46.0
453546.0,441354.0,45.0
453560.0,895969.0,50.0
,651233.0,47.0
453561.0,,42.0
453562.0,915253.0,50.0
453569.0,166694.0,42.0
,207425.0,42.0
453594.0,,45.0
,465565.0,45.0
453613.0,,50.0
453614.0,,42.0
,439543.0,45.0
,381738.0,44.0
,850954.0,49.0
453627.0,156650.0,42.0
453629.0,,46.0
,358511.0,44.0
453642.0,,50.0
,649286.0,47.0
,471314.0,45.0
453654.0,708365.0,48.0
453659.0,,48.0
453666.0,,44.0
453675.0,125169.0,41.0
453683.0,472068.0,45.0
453684.0,194606.0,42.0
453686.0,540188.0,46.0
453689.0,,42.0
453702.0,,45.0
,485972.0,45.0
453716.0,,47.0
453716.0,,41.0
453722.0,,50.0
453725.0,,45.0
453726.0,,43.0
453728.0,,50.0
,359577.0,44.0
453733.0,191467.0,42.0
453741.0,,46.0
453753.0,374008.0,44.0
,262322.0,43.0
453765.0,928139.0,50.0
453769.0,466367.0,45.0
453776.0,187511.0,42.0
453780.0,59149.0,41.0
453806.0,693071.0,48.0
453816.0,719423.0,48.0
,185229.0,42.0
453822.0,199586.0,42.0
453831.0,642167.0,47.0
,712889.0,48.0
453843.0,899050.0,50.0
,855271.0,49.0
,908326.0,50.0
453848.0,514496.0,46.0
453848.0,493159.0,45.0
453855.0,,43.0
453855.0,,43.0
453857.0,705368.0,48.0
453870.0,,47.0
453870.0,441310.0,45.0
453875.0,,43.0
453886.0,,47.0
453887.0,,49.0
453905.0,269667.0,43.0
453911.0,580202.0,46.0
453921.0,778399.0,49.0
453930.0,720650.0,48.0
,605919.0,47.0
453934.0,,45.0
453940.0,380018.0,44.0
453944.0,,46.0
453953.0,448863.0,45.0
,809653.0,49.0
453955.0,,49.0
453956.0,931903.0,50.0
,633098.0,47.0
453972.0,,47.0
453973.0,660339.0,47.0
453974.0,159184.0,42.0
453980.0,,42.0
,186346.0,42.0
453985.0,578952.0,46.0
453988.0,29024.0,41.0
,739064.0,48.0
453999.0,,41.0
,271593.0,43.0
454018.0,,43.0
,531536.0,46.0
454032.0,243721.0,43.0
454034.0,825198.0,49.0
454039.0,,50.0
454041.0,897092.0,50.0
,944341.0,50.0
,183288.0,42.0
454064.0,60143.0,41.0
454068.0,,45.0
454071.0,69621.0,41.0
454074.0,,49.0
,178238.0,42.0
,462667.0,45.0
454088.0,,41.0
454092.0,,49.0
454099.0,,50.0
454101.0,,50.0
,681116.0,48.0
454122.0,,47.0
,154667.0,42.0
,636405.0,47.0
454150.0,155813.0,42.0
454155.0,,46.0
,694250.0,48.0
454165.0,,45.0
454166.0,596531.0,47.0
,272570.0,43.0
454206.0,,43.0
454220.0,847666.0,49.0
,229984.0,43.0
454231.0,749904.0,48.0
454235.0,820977.0,49.0
454248.0,85610.0,41.0
,785425.0,49.0
454273.0,461439.0,45.0
454275.0,894897.0,50.0
454279.0,359226.0,44.0
,861362.0,49.0
,827022.0,49.0
454301.0,,46.0
,319776.0,44.0
,331833.0,44.0
454338.0,347281.0,44.0
,557741.0,46.0
454340.0,573740.0,46.0
,769841.0,48.0
454345.0,711720.0,48.0
,796211.0,49.0
454357.0,,43.0
454359.0,373203.0,44.0
,908471.0,50.0
454362.0,,45.0
,851810.0,49.0
454372.0,,50.0
454373.0,736442.0,48.0
454374.0,,45.0
454376.0,337680.0,44.0
454378.0,153896.0,42.0
454378.0,,47.0
454379.0,115390.0,41.0
454383.0,924332.0,50.0
454384.0,77962.0,41.0
454392.0,,43.0
454399.0,,48.0
454409.0,144349.0,42.0
454409.0,,48.0
,931564.0,50.0
454421.0,,44.0
454426.0,,50.0
,718930.0,48.0
454432.0,840361.0,49.0
454435.0,836196.0,49.0
454435.0,353157.0,44.0
454457.0,172780.0,42.0
454458.0,707235.0,48.0
454462.0,,49.0
454482.0,158336.0,42.0
454483.0,,44.0
454491.0,,50.0
,742023.0,48.0
454505.0,797233.0,49.0
454516.0,372193.0,44.0
,661613.0,47.0
454520.0,92069.0,41.0
,842010.0,49.0
,128013.0,42.0
454529.0,,45.0
454544.0,283283.0,43.0
454562.0,,43.0
454573.0,547143.0,46.0
454578.0,460425.0,45.0
454587.0,541909.0,46.0
454587.0,,46.0
,826267.0,49.0
454597.0,,45.0
454613.0,55030.0,41.0
454621.0,24474.0,41.0
454621.0,,41.0
454624.0,167063.0,42.0
454625.0,77799.0,41.0
454627.0,,49.0
454650.0,798805.0,49.0
454667.0,,48.0
,180630.0,42.0
454670.0,108550.0,41.0
,959894.0,50.0
,371101.0,44.0
454679.0,690177.0,48.0
454681.0,,42.0
,90347.0,41.0
454701.0,488939.0,45.0
,274355.0,43.0
,713995.0,48.0
454705.0,539739.0,46.0
454713.0,433759.0,45.0
454719.0,711264.0,48.0
454721.0,,42.0
454724.0,,48.0
454725.0,91564.0,41.0
454727.0,132110.0,42.0
,619681.0,47.0
,728903.0,48.0
454744.0,,41.0
,618076.0,47.0
454757.0,574877.0,46.0
,891618.0,50.0
454758.0,854506.0,49.0
,631102.0,47.0
454766.0,,44.0
,100290.0,41.0
454777.0,,49.0
454777.0,,47.0
454779.0,,49.0
454785.0,242098.0,43.0
454787.0,522802.0,46.0
454790.0,935212.0,50.0
454793.0,,44.0
454816.0,491935.0,45.0
454817.0,627140.0,47.0
454819.0,418952.0,45.0
454824.0,430628.0,45.0
454831.0,428144.0,45.0
454836.0,,49.0
454854.0,,45.0
,706178.0,48.0
454861.0,770382.0,48.0
454865.0,266823.0,43.0
454876.0,,41.0
454877.0,,46.0
454879.0,,41.0
454879.0,556656.0,46.0
454883.0,,50.0
,327019.0,44.0
454924.0,810254.0,49.0
,362120.0,44.0
454937.0,,41.0
,359209.0,44.0
454938.0,,46.0
454946.0,,44.0
454954.0,,47.0
,42612.0,41.0
,63380.0,41.0
454965.0,,45.0
454967.0,,43.0
,222600.0,43.0
454969.0,,49.0
,560422.0,46.0
454986.0,726051.0,48.0
,568792.0,46.0
,748135.0,48.0
455009.0,,43.0
455014.0,,47.0
,711036.0,48.0
455025.0,,41.0
455032.0,469199.0,45.0
,929202.0,50.0
455039.0,,47.0
,765835.0,48.0
455054.0,257503.0,43.0
,347595.0,44.0
455067.0,270124.0,43.0
,430935.0,45.0
455081.0,184353.0,42.0
,81062.0,41.0
455104.0,551569.0,46.0
455105.0,758762.0,48.0
455107.0,,42.0
455111.0,,46.0
455114.0,677321.0,47.0
,584876.0,46.0
455137.0,726920.0,48.0
455141.0,637053.0,47.0
455154.0,645390.0,47.0
,740495.0,48.0
,854386.0,49.0
455158.0,815157.0,49.0
455160.0,622455.0,47.0
,226082.0,43.0
455166.0,852359.0,49.0
455167.0,,47.0
455169.0,275121.0,43.0
455181.0,,46.0
,472884.0,45.0
455195.0,,45.0
455198.0,,46.0
455199.0,,43.0
,536413.0,46.0
,455158.0,45.0
,600326.0,47.0
455218.0,,41.0
455221.0,604296.0,47.0
455231.0,,42.0
455251.0,,41.0
455256.0,,49.0
455257.0,567173.0,46.0
455258.0,697867.0,48.0
455269.0,,47.0
455272.0,,42.0
455272.0,459859.0,45.0
455277.0,,50.0
,531493.0,46.0
,418172.0,45.0
,243354.0,43.0
455294.0,,44.0
455298.0,59435.0,41.0
455300.0,,44.0
455302.0,914971.0,50.0
,741895.0,48.0
,655526.0,47.0
,850894.0,49.0
,693036.0,48.0
455325.0,,50.0
455330.0,,43.0
455332.0,699053.0,48.0
455332.0,431246.0,45.0
455336.0,164069.0,42.0
455339.0,,41.0
455343.0,,42.0
455357.0,793776.0,49.0
455365.0,,46.0
455367.0,,42.0
455372.0,156739.0,42.0
455380.0,63460.0,41.0
,613068.0,47.0
,890450.0,50.0
455409.0,176080.0,42.0
455419.0,570988.0,46.0
455423.0,688185.0,48.0
,109079.0,41.0
455425.0,807060.0,49.0
455431.0,,41.0
455435.0,69760.0,41.0
455436.0,922347.0,50.0
455440.0,910314.0,50.0
,460056.0,45.0
,617887.0,47.0
455468.0,951256.0,50.0
455478.0,383786.0,44.0
455479.0,464994.0,45.0
455479.0,,45.0
455481.0,811920.0,49.0
,687224.0,48.0
455487.0,795153.0,49.0
455506.0,513362.0,46.0
,593873.0,47.0
455511.0,447999.0,45.0
455525.0,184142.0,42.0
455531.0,,49.0
455573.0,,49.0
455577.0,646971.0,47.0
,740932.0,48.0
,165931.0,42.0
,926790.0,50.0
455598.0,952256.0,50.0
,801462.0,49.0
455616.0,,42.0
455618.0,265507.0,43.0
,438381.0,45.0
,707234.0,48.0
455652.0,,41.0
,42226.0,41.0
455663.0,940842.0,50.0
455664.0,357653.0,44.0
455671.0,61860.0,41.0
455672.0,82998.0,41.0
,340430.0,44.0
455681.0,796161.0,49.0
455685.0,176937.0,42.0
455688.0,56491.0,41.0
455692.0,,42.0
,795935.0,49.0
455702.0,104512.0,41.0
455724.0,847136.0,49.0
,340524.0,44.0
455733.0,,44.0
455736.0,,44.0
455737.0,456295.0,45.0
455738.0,118427.0,41.0
455757.0,,44.0
455764.0,,50.0
455772.0,,45.0
455776.0,361285.0,44.0
455778.0,,50.0
,402935.0,44.0
455782.0,106093.0,41.0
,748498.0,48.0
455784.0,565073.0,46.0
455785.0,682420.0,48.0
,740451.0,48.0
455806.0,259628.0,43.0
,440522.0,45.0
,761094.0,48.0
455827.0,,47.0
455829.0,,42.0
,167387.0,42.0
455835.0,,42.0
455838.0,470878.0,45.0
455841.0,827013.0,49.0
,226113.0,43.0
455847.0,717952.0,48.0
455847.0,,47.0
,435343.0,45.0
455893.0,655210.0,47.0
,263897.0,43.0
455902.0,898490.0,50.0
455904.0,595358.0,47.0
455916.0,,48.0
455919.0,,41.0
455921.0,58589.0,41.0
455922.0,95518.0,41.0
455927.0,,43.0
455928.0,,42.0
455928.0,352146.0,44.0
455929.0,168981.0,42.0
455930.0,563124.0,46.0
455934.0,151334.0,42.0
455956.0,,50.0
,920331.0,50.0
455964.0,331675.0,44.0
455970.0,585212.0,46.0
455973.0,,48.0
455978.0,548365.0,46.0
,538467.0,46.0
,55700.0,41.0
455999.0,207332.0,42.0
456006.0,,46.0
,521725.0,46.0
456028.0,261623.0,43.0
,37906.0,41.0
456050.0,,42.0
456056.0,254025.0,43.0
,393058.0,44.0
456062.0,28063.0,41.0
456064.0,132863.0,42.0
456065.0,269619.0,43.0
456079.0,62715.0,41.0
456081.0,718965.0,48.0
456090.0,452660.0,45.0
,739492.0,48.0
456108.0,,47.0
456116.0,941070.0,50.0
456120.0,,48.0
456124.0,,43.0
456124.0,148871.0,42.0
456134.0,92227.0,41.0
,624529.0,47.0
,802864.0,49.0
456156.0,52183.0,41.0
456158.0,633077.0,47.0
456167.0,103975.0,41.0
,816996.0,49.0
,636545.0,47.0
456181.0,,42.0
,947783.0,50.0
456222.0,,45.0
456228.0,,43.0
456231.0,362876.0,44.0
456235.0,,50.0
456235.0,644567.0,47.0
456252.0,,44.0
456258.0,657106.0,47.0
456265.0,,47.0
456272.0,,50.0
456274.0,822256.0,49.0
456276.0,,44.0
456302.0,,48.0
,638586.0,47.0
,903943.0,50.0
,553568.0,46.0
456312.0,,44.0
,715485.0,48.0
456328.0,,49.0
456331.0,784130.0,49.0
456354.0,365914.0,44.0
456355.0,615616.0,47.0
456355.0,525577.0,46.0
456360.0,857143.0,49.0
,784160.0,49.0
456368.0,,47.0
,898137.0,50.0
456372.0,168232.0,42.0
456382.0,706715.0,48.0
456391.0,924992.0,50.0
,812603.0,49.0
,115501.0,41.0
456416.0,807590.0,49.0
456429.0,149765.0,42.0
456429.0,,49.0
456432.0,73623.0,41.0
456433.0,328127.0,44.0
,204904.0,42.0
456461.0,897392.0,50.0
456464.0,,42.0
,93885.0,41.0
456474.0,,46.0
,890071.0,50.0
,677697.0,47.0
456495.0,,46.0
456506.0,,41.0
456525.0,,44.0
456525.0,79316.0,41.0
456538.0,920510.0,50.0
,725685.0,48.0
456549.0,255137.0,43.0
456549.0,697294.0,48.0
456564.0,835382.0,49.0
456566.0,59245.0,41.0
,388129.0,44.0
456580.0,,49.0
456600.0,,46.0
,853173.0,49.0
,271369.0,43.0
456614.0,631854.0,47.0
456647.0,942184.0,50.0
456659.0,472525.0,45.0
456671.0,544362.0,46.0
456674.0,435091.0,45.0
456683.0,451921.0,45.0
,348573.0,44.0
,845327.0,49.0
456705.0,,50.0
456720.0,,47.0
456720.0,107761.0,41.0
,534774.0,46.0
456732.0,147972.0,42.0
456755.0,,43.0
,105883.0,41.0
,587341.0,46.0
456766.0,,44.0
456777.0,,42.0
456796.0,800229.0,49.0
,362488.0,44.0
456816.0,261999.0,43.0
,209498.0,42.0
,513829.0,46.0
456816.0,,48.0
456819.0,,45.0
456834.0,,46.0
,825823.0,49.0
,814316.0,49.0
456880.0,,43.0
456881.0,717504.0,48.0
456883.0,,44.0
456887.0,,41.0
,638561.0,47.0
456916.0,454288.0,45.0
456918.0,,50.0
456925.0,,47.0
456927.0,358987.0,44.0
456941.0,877728.0,50.0
456951.0,,42.0
456956.0,,43.0
456959.0,,42.0
456960.0,,49.0
456966.0,371148.0,44.0
456977.0,471712.0,45.0
,254625.0,43.0
,346180.0,44.0
456994.0,530796.0,46.0
456998.0,,49.0
456999.0,188518.0,42.0
457011.0,560629.0,46.0
457027.0,836888.0,49.0
457043.0,718859.0,48.0
457046.0,155892.0,42.0
457051.0,,45.0
,905047.0,50.0
,738443.0,48.0
457077.0,,49.0
457086.0,640044.0,47.0
,512326.0,46.0
,325225.0,44.0
457105.0,,42.0
,821700.0,49.0
457106.0,600351.0,47.0
,356632.0,44.0
457114.0,73760.0,41.0
457114.0,756739.0,48.0
,244855.0,43.0
457117.0,889472.0,50.0
457121.0,,45.0
,140173.0,42.0
,811581.0,49.0
457128.0,727465.0,48.0
457134.0,624176.0,47.0
457142.0,83170.0,41.0
457145.0,,42.0
457149.0,646632.0,47.0
457158.0,749437.0,48.0
,296408.0,43.0
,625519.0,47.0
457164.0,903448.0,50.0
457170.0,627908.0,47.0
457173.0,344360.0,44.0
457195.0,279411.0,43.0
457197.0,298936.0,43.0
457198.0,,41.0
457198.0,,44.0
,418058.0,45.0
457219.0,,42.0
,463399.0,45.0
457221.0,,49.0
457228.0,462147.0,45.0
457230.0,535530.0,46.0
,302987.0,43.0
457232.0,374753.0,44.0
457243.0,,44.0
457249.0,,50.0
,322128.0,44.0
457260.0,,49.0
457267.0,841361.0,49.0
457273.0,873502.0,50.0
457275.0,838808.0,49.0
457293.0,,44.0
457301.0,430637.0,45.0
457301.0,,41.0
457304.0,,42.0
457305.0,,43.0
457305.0,843626.0,49.0
457305.0,320036.0,44.0
457320.0,447916.0,45.0
457324.0,,45.0
457327.0,96059.0,41.0
,185403.0,42.0
457338.0,,46.0
457349.0,,45.0
457352.0,727155.0,48.0
457354.0,459835.0,45.0
,753321.0,48.0
,896685.0,50.0
,104069.0,41.0
457377.0,,49.0
,546011.0,46.0
457388.0,770205.0,48.0
,915585.0,50.0
,729597.0,48.0
,641422.0,47.0
457423.0,,48.0
457426.0,61041.0,41.0
,792379.0,49.0
457440.0,297085.0,43.0
457450.0,760856.0,48.0
457471.0,504035.0,46.0
,882323.0,50.0
457481.0,591605.0,47.0
,633160.0,47.0
457490.0,,47.0
,443108.0,45.0
457502.0,180633.0,42.0
,86708.0,41.0
457519.0,916056.0,50.0
457527.0,433062.0,45.0
457531.0,,45.0
457536.0,,46.0
457540.0,,44.0
,546667.0,46.0
457553.0,814647.0,49.0
,291163.0,43.0
457563.0,901762.0,50.0
457565.0,,49.0
,72196.0,41.0
457594.0,639205.0,47.0
,717823.0,48.0
457600.0,691201.0,48.0
457603.0,130718.0,42.0
457618.0,391612.0,44.0
457629.0,675197.0,47.0
,733560.0,48.0
457641.0,225222.0,43.0
457648.0,903075.0,50.0
,655843.0,47.0
457659.0,173135.0,42.0
,317237.0,44.0
,260784.0,43.0
,310346.0,43.0
,620027.0,47.0
457671.0,803720.0,49.0
457672.0,256547.0,43.0
457683.0,656119.0,47.0
457686.0,,47.0
457700.0,,48.0
457702.0,,42.0
457708.0,,45.0
457710.0,,45.0
457716.0,534887.0,46.0
457717.0,465494.0,45.0
,86954.0,41.0
457730.0,309262.0,43.0
,183040.0,42.0
457763.0,,50.0
457765.0,392051.0,44.0
457779.0,,41.0
,151657.0,42.0
,361235.0,44.0
457791.0,,47.0
,286817.0,43.0
457798.0,,43.0
,167591.0,42.0
457823.0,,46.0
457825.0,,43.0
457839.0,754870.0,48.0
,838250.0,49.0
,652962.0,47.0
457881.0,,44.0
,486354.0,45.0
457898.0,,48.0
,316348.0,44.0
457910.0,,44.0
457913.0,,42.0
457921.0,608948.0,47.0
457930.0,445791.0,45.0
457936.0,341973.0,44.0
457946.0,,48.0
,519612.0,46.0
457959.0,,49.0
457960.0,,49.0
457982.0,521881.0,46.0
,350951.0,44.0
,627411.0,47.0
457988.0,,48.0
,354866.0,44.0
458006.0,943258.0,50.0
458008.0,445480.0,45.0
,364592.0,44.0
458012.0,207613.0,42.0
458016.0,,48.0
458026.0,460912.0,45.0
458031.0,727711.0,48.0
458037.0,,48.0
458043.0,,42.0
458049.0,757625.0,48.0
,451138.0,45.0
,423192.0,45.0
458058.0,,43.0
458061.0,521724.0,46.0
458064.0,831417.0,49.0
458080.0,,48.0
458081.0,403857.0,45.0
458092.0,129299.0,42.0
458096.0,355901.0,44.0
458097.0,236390.0,43.0
458098.0,,47.0
458101.0,,41.0
,186379.0,42.0
458118.0,,48.0
458127.0,,43.0
458137.0,435169.0,45.0
458138.0,811910.0,49.0
458141.0,739075.0,48.0
458152.0,545195.0,46.0
458159.0,,50.0
458179.0,,44.0
458182.0,815028.0,49.0
458182.0,,45.0
458212.0,564430.0,46.0
458216.0,801014.0,49.0
,562753.0,46.0
458225.0,,43.0
458227.0,,46.0
,621586.0,47.0
458238.0,,44.0
458253.0,48948.0,41.0
,316249.0,44.0
,48813.0,41.0
458272.0,448264.0,45.0
458283.0,,42.0
458291.0,,45.0
458293.0,,42.0
,252591.0,43.0
,704212.0,48.0
,352280.0,44.0
458297.0,,42.0
458303.0,541281.0,46.0
,444220.0,45.0
458317.0,464134.0,45.0
458318.0,581043.0,46.0
458324.0,,47.0
458328.0,,47.0
458337.0,,48.0
,96295.0,41.0
,351745.0,44.0
,620647.0,47.0
458365.0,816542.0,49.0
,944053.0,50.0
458398.0,840014.0,49.0
458402.0,808178.0,49.0
458420.0,,47.0
458425.0,621457.0,47.0
458426.0,,44.0
458429.0,675721.0,47.0
,99693.0,41.0
458433.0,504322.0,46.0
,551082.0,46.0
458438.0,,42.0
458438.0,248529.0,43.0
458445.0,153078.0,42.0
458446.0,291641.0,43.0
458449.0,648713.0,47.0
,661556.0,47.0
458468.0,891634.0,50.0
458472.0,,45.0
458477.0,,50.0
,693092.0,48.0
,279638.0,43.0
,636741.0,47.0
458521.0,353617.0,44.0
,916295.0,50.0
458535.0,,46.0
458549.0,581055.0,46.0
458549.0,70187.0,41.0
458552.0,178762.0,42.0
458553.0,,45.0
458563.0,,44.0
,643575.0,47.0
458574.0,,46.0
458575.0,,46.0
458577.0,,46.0
458581.0,,49.0
458586.0,810051.0,49.0
458588.0,,50.0
458593.0,,47.0
458595.0,580549.0,46.0
458597.0,,47.0
458599.0,,50.0
458601.0,,49.0
,697991.0,48.0
458614.0,542036.0,46.0
458616.0,,49.0
458618.0,,47.0
458624.0,,49.0
458643.0,,48.0
458646.0,,50.0
458656.0,,41.0
458660.0,497411.0,46.0
,890334.0,50.0
458661.0,,45.0
458661.0,,47.0
458663.0,,49.0
458672.0,721531.0,48.0
458684.0,,49.0
458689.0,373172.0,44.0
458697.0,461790.0,45.0
458702.0,,41.0
458714.0,,45.0
,257046.0,43.0
458719.0,523407.0,46.0
,358068.0,44.0
458722.0,,49.0
458729.0,566034.0,46.0
,926823.0,50.0
458741.0,812094.0,49.0
458741.0,,49.0
458752.0,864979.0,50.0
,718516.0,48.0
458775.0,,42.0
,282114.0,43.0
458784.0,68108.0,41.0
458795.0,,50.0
458796.0,372374.0,44.0
,421103.0,45.0
458813.0,,50.0
,822961.0,49.0
458830.0,834674.0,49.0
458841.0,69894.0,41.0
458851.0,516412.0,46.0
458853.0,196909.0,42.0
,707468.0,48.0
458860.0,247633.0,43.0
458863.0,,46.0
458864.0,711419.0,48.0
458865.0,,43.0
458871.0,,46.0
458876.0,447232.0,45.0
458881.0,,47.0
458883.0,,49.0
458887.0,944958.0,50.0
,645603.0,47.0
458895.0,338183.0,44.0
458902.0,,48.0
458906.0,,49.0
458908.0,,44.0
458908.0,,48.0
,472982.0,45.0
458911.0,138600.0,42.0
458924.0,460862.0,45.0
,932236.0,50.0
,852424.0,49.0
458948.0,,43.0
458948.0,,49.0
458950.0,,48.0
458960.0,888835.0,50.0
458961.0,,46.0
458968.0,,45.0
,359313.0,44.0
458975.0,,43.0
458983.0,138615.0,42.0
458994.0,,49.0
458996.0,,45.0
459015.0,152972.0,42.0
,268449.0,43.0
459025.0,,47.0
459037.0,672011.0,47.0
459039.0,,46.0
,627476.0,47.0
459060.0,,43.0
459062.0,563425.0,46.0
,709489.0,48.0
459076.0,753475.0,48.0
,132567.0,42.0
459089.0,,45.0
,445949.0,45.0
,338529.0,44.0
459095.0,,46.0
459098.0,,50.0
,915807.0,50.0
,347066.0,44.0
459112.0,747514.0,48.0
459124.0,468645.0,45.0
459135.0,,49.0
,63513.0,41.0
459146.0,,50.0
459149.0,642932.0,47.0
459153.0,555821.0,46.0
459157.0,848284.0,49.0
459164.0,270449.0,43.0
459164.0,473564.0,45.0
,350650.0,44.0
459174.0,,44.0
459179.0,,41.0
459184.0,,47.0
459197.0,,50.0
459203.0,,48.0
,194169.0,42.0
459208.0,128184.0,42.0
459213.0,163540.0,42.0
459216.0,882094.0,50.0
,951829.0,50.0
,465416.0,45.0
459225.0,549369.0,46.0
459229.0,,45.0
459233.0,,45.0
459248.0,355129.0,44.0
459248.0,,42.0
459251.0,820254.0,49.0
459252.0,,50.0
459258.0,877536.0,50.0
459263.0,239999.0,43.0
459278.0,589141.0,47.0
,523721.0,46.0
459280.0,,50.0
459284.0,529220.0,46.0
459286.0,408327.0,45.0
459290.0,,47.0
,506558.0,46.0
459300.0,827005.0,49.0
,349585.0,44.0
,822821.0,49.0
,531047.0,46.0
459329.0,807011.0,49.0
459333.0,248540.0,43.0
459336.0,,49.0
459341.0,,45.0
459342.0,,49.0
,720154.0,48.0
459369.0,534869.0,46.0
459379.0,,44.0
,482340.0,45.0
,537058.0,46.0
459410.0,,47.0
459413.0,,43.0
459414.0,,49.0
,439583.0,45.0
459419.0,,43.0
459456.0,,41.0
,164213.0,42.0
459461.0,,47.0
459468.0,,41.0
459468.0,,42.0
459470.0,,49.0
459477.0,729974.0,48.0
459482.0,,50.0
459489.0,556738.0,46.0
459500.0,,45.0
459508.0,,50.0
459523.0,,49.0
459530.0,920332.0,50.0
,794479.0,49.0
459566.0,737470.0,48.0
459569.0,,46.0
,922299.0,50.0
,304271.0,43.0
,638732.0,47.0
459587.0,,47.0
459589.0,,50.0
459596.0,802457.0,49.0
459596.0,525170.0,46.0
,285627.0,43.0
459607.0,119175.0,41.0
459619.0,,47.0
,799961.0,49.0
,68422.0,41.0
,245898.0,43.0
,192370.0,42.0
,649552.0,47.0
459668.0,858097.0,49.0
459674.0,,46.0
459677.0,164378.0,42.0
,813181.0,49.0
459682.0,741897.0,48.0
459686.0,,41.0
,627581.0,47.0
459696.0,483394.0,45.0
,435931.0,45.0
459699.0,,43.0
,588332.0,47.0
459720.0,,50.0
,201341.0,42.0
,811070.0,49.0
459759.0,799971.0,49.0
,176937.0,42.0
459781.0,306009.0,43.0
,146988.0,42.0
,306240.0,43.0
459814.0,285343.0,43.0
459814.0,207261.0,42.0
,190293.0,42.0
459833.0,618298.0,47.0
459844.0,725581.0,48.0
459844.0,,42.0
459847.0,477907.0,45.0
459868.0,,41.0
459872.0,884424.0,50.0
459872.0,532771.0,46.0
,818923.0,49.0
459923.0,,41.0
459924.0,,44.0
,740232.0,48.0
459934.0,,44.0
459935.0,,48.0
459936.0,429018.0,45.0
459941.0,364174.0,44.0
459949.0,623516.0,47.0
459954.0,456336.0,45.0
,949654.0,50.0
,627338.0,47.0
459975.0,,48.0
,636365.0,47.0
459978.0,,49.0
,162508.0,42.0
460000.0,734340.0,48.0
,633125.0,47.0
,168473.0,42.0
,123131.0,41.0
460038.0,891465.0,50.0
460053.0,416068.0,45.0
,909083.0,50.0
460060.0,434550.0,45.0
,751913.0,48.0
460066.0,675546.0,47.0
460073.0,423954.0,45.0
460078.0,645055.0,47.0
460081.0,,49.0
460091.0,282454.0,43.0
460097.0,,49.0
460107.0,,41.0
,826913.0,49.0
460127.0,,49.0
460132.0,224421.0,43.0
460146.0,,43.0
,508454.0,46.0
460157.0,,42.0
